place_id,name,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,category
ChIJVVVq2KHKw4kRtDExWgrsuO8,Deluca's Italian Restaurant,"7324 Amboy Road, Staten Island",40.51098799999999,-74.2413948,4.5,713,2.0,"restaurant, point_of_interest, food, establishment",OPERATIONAL,restaurant
ChIJGwx_fJ_Kw4kRny1yq4WnfRU,Dani's Italian Bistro,"7331 Amboy Road, Staten Island",40.5111528,-74.2417001,4.5,108,2.0,"restaurant, point_of_interest, food, establishment",OPERATIONAL,restaurant
ChIJl8GODJzKw4kRIa6MfpzFw8A,Cracker Barrel Deli,"180 Main Street, Staten Island",40.51056670000001,-74.24854119999999,4.0,111,2.0,"restaurant, point_of_interest, store, food, establishment",OPERATIONAL,restaurant
ChIJJUytWpnKw4kR_4LxIThf9vc,Mangia,"7517 Amboy Road, Staten Island",40.5092828,-74.24661309999999,4.6,232,2.0,"meal_delivery, restaurant, point_of_interest, food, establishment",OPERATIONAL,restaurant
ChIJJQz5EZzKw4kRCZ95UajbyGw,Kim's Island,"175 Main Street, Staten Island",40.5107736,-74.2482624,4.5,99,1.0,"meal_delivery, restaurant, point_of_interest, food, establishment",OPERATIONAL,restaurant
ChIJQ4oyARzLw4kRXKbILKFUVV0,Tres Amigos Taqueria & Restaurant,"7528 Amboy Road, Staten Island",40.5090013,-74.2467023,4.5,299,2.0,"restaurant, point_of_interest, food, establishment",OPERATIONAL,restaurant
ChIJtx62LZ_Kw4kRGbtfXMjjPXk,Mikey Bagels,"7420 Amboy Road, Staten Island",40.50987579999999,-74.2437894,4.5,218,1.0,"bakery, restaurant, point_of_interest, store, food, establishment",OPERATIONAL,restaurant
ChIJ7beiVJrLw4kRxYWEh0cgxmk,The Creperie Corner,"7427 Amboy Road, Staten Island",40.5100644,-74.24408,4.8,56,,"restaurant, point_of_interest, store, food, establishment",OPERATIONAL,restaurant
ChIJN2c6L5_Kw4kRVA7mLIa2eyY,Keke's Grab N' Go,"7423 Amboy Road, Staten Island",40.5100248,-74.24392569999999,4.4,83,2.0,"restaurant, point_of_interest, food, establishment",OPERATIONAL,restaurant
ChIJZTzEKJ_Kw4kRBEkeoKf0YZ0,Gigi's Cafe & Keke's Pizzeria,"7423 Amboy Road, Staten Island",40.5100828,-74.2439936,4.6,93,2.0,"cafe, restaurant, point_of_interest, food, establishment",OPERATIONAL,restaurant
